,genre_ids,ids,popularity,release_date,release_year,title,vote_average
168,18,353728,1.700344,2016-07-15,2016,Closet Monster,7.1
169,18,335791,1.698145,2016-09-09,2016,When the Bough Breaks,5.5
170,18,291264,1.6968,2016-04-16,2016,The Family Fang,5.8
171,18,401252,1.692829,2016-11-25,2016,The Queen of Spain,4.7
172,18,310119,1.689864,2016-05-13,2016,Last Days in the Desert,4.1
173,18,368596,1.681121,2016-05-20,2016,Back in the Day,2.7
174,18,377263,1.677181,2016-09-03,2016,Frantz,7.4
175,18,339405,1.676715,2016-10-14,2016,Christine,7.0
176,18,402423,1.667961,2016-09-15,2016,The Vessel,6.3
177,18,393945,1.665082,2016-11-23,2016,150 Milligrams,7.2
178,18,245913,1.655054,2016-05-06,2016,Pelé: Birth of a Legend,7.2
179,18,340487,1.655044,2016-09-25,2016,Certain Women,6.4
180,18,318121,1.644741,2016-06-16,2016,The Fundamentals of Caring,7.4
181,18,373476,1.636721,2016-08-26,2016,Complete Unknown,4.9
182,18,331962,1.63636,2016-01-22,2016,Exposed,4.4
183,18,415132,1.636114,2016-11-23,2016,Arès,6.5
184,18,348390,1.635383,2016-04-16,2016,Confirmation,6.8
185,18,360249,1.634164,2016-02-12,2016,The Last King,5.1
186,18,408543,1.624963,2016-11-23,2016,A Woman's Life,4.3
187,18,391757,1.623621,2016-06-07,2016,Never Back Down: No Surrender,7.1
188,18,393277,1.61793,2016-10-20,2016,Icebreaker,5.4
189,18,382475,1.602879,2016-03-16,2016,The Pass,8.4
190,18,406449,1.602046,2016-10-07,2016,Hatred,8.6
191,18,340402,1.58278,2016-11-11,2016,Almost Christmas,5.4
192,18,347123,1.581003,2016-05-23,2016,All the Way,6.7
193,18,347938,1.569865,2016-02-15,2016,11.22.63,8.0
194,18,382399,1.555283,2016-04-08,2016,High Strung,7.0
195,18,356298,1.554707,2016-07-22,2016,Don't Think Twice,6.6
196,18,390582,1.536137,2016-04-15,2016,Here Alone,6.4
197,18,184341,1.5293,2016-08-26,2016,Hands of Stone,5.9
198,18,403357,1.521771,2016-12-02,2016,1898. Los últimos de Filipinas,6.4
199,18,450560,1.519865,2016-10-14,2016,Monumental,0.0
200,18,364051,1.510254,2016-02-10,2016,The Innocents,7.1
201,18,331588,1.506107,2016-02-24,2016,The Great Gilly Hopkins,5.9
202,18,392817,1.506069,2016-04-12,2016,The Student,5.4
203,18,398289,1.505312,2016-08-03,2016,Life on the Line,4.7
204,18,340611,1.49746,2016-07-29,2016,Indignation,7.0
205,18,450281,1.495245,2016-09-20,2016,"What's for Dinner, Mom?",0.0
206,18,262982,1.494508,2016-12-16,2016,The Hollow Point,6.7
207,18,376003,1.488997,2016-01-05,2016,Mercury Plains,5.1
208,18,407887,1.48699,2016-07-27,2016,Operation Chromite,5.8
209,18,362478,1.472467,2016-03-18,2016,The Preppie Connection,7.1
210,18,336435,1.471616,2016-01-29,2016,We Are Pregnant,5.2
211,18,315669,1.466486,2016-04-01,2016,My Beloved Bodyguard,6.1
212,18,425895,1.465505,2016-11-14,2016,Tisay,0.0
213,18,371449,1.462397,2016-09-09,2016,Other People,6.6
214,18,389630,1.462317,2016-12-09,2016,All We Had,4.6
215,18,363841,1.459453,2016-09-09,2016,Guernica,5.4
216,18,380225,1.457196,2016-05-17,2016,Like Crazy,7.2
217,18,378385,1.446759,2016-01-20,2016,Jarhead 3: The Siege,5.2
218,18,389396,1.440289,2016-03-28,2016,Maigret Sets a Trap,6.8
219,18,394262,1.439963,2016-11-16,2016,French Tour,5.3
