,title,id,release_date,popularity,genre_ids
168,Child 44,181283,2015-03-15,3.385997,"[80, 53]"
169,Solace,339527,2015-09-03,3.340869,"[80, 18, 9648]"
170,Young Mother 3,357458,2015-04-30,3.309887,"[35, 10749]"
171,Ip Man 3,365222,2015-12-19,3.309386,"[28, 18, 36]"
172,Sleeping with Other People,288036,2015-06-26,3.267915,[35]
173,Entourage,188222,2015-06-03,3.260801,[35]
174,Sinister 2,283445,2015-08-19,3.244092,[27]
175,Goosebumps,257445,2015-08-05,3.240953,"[12, 27, 35]"
176,Steve Jobs,321697,2015-10-09,3.23606,"[18, 36]"
177,Brooklyn,167073,2015-11-04,3.201514,"[18, 10749]"
178,Absolutely Anything,86828,2015-06-26,3.172214,"[35, 878]"
179,Last Knights,308504,2015-04-03,3.154,"[28, 12]"
180,Paul Blart: Mall Cop 2,256961,2015-04-16,3.141455,"[28, 12, 35, 10751]"
181,Alvin and the Chipmunks: The Road Chip,258509,2015-12-17,3.137382,"[12, 16, 35, 10751]"
182,Survivor,334074,2015-05-21,3.132616,"[80, 53, 28]"
183,In the Heart of the Sea,205775,2015-11-20,3.122526,"[53, 18, 12, 28, 36]"
184,Knock Knock,263472,2015-06-26,3.118526,"[18, 27, 53]"
185,Vice,307663,2015-01-16,3.02063,"[53, 878, 28, 12]"
186,Fantastic Four,166424,2015-08-05,3.012474,"[28, 12, 878]"
187,Barely Lethal,248574,2015-04-30,3.010885,"[12, 28, 35]"
188,The Lobster,254320,2015-10-08,2.937821,"[53, 35, 18, 10749, 878]"
189,Pan,266647,2015-09-24,2.934806,"[12, 10751, 14]"
190,The Gift,328425,2015-07-30,2.931402,"[53, 9648]"
191,The Danish Girl,306819,2015-11-27,2.931367,[18]
192,Vacation,296099,2015-07-28,2.924431,"[12, 35]"
193,Ten Thousand Saints,253406,2015-08-14,2.881816,"[35, 18, 10402]"
194,Fuck You Goethe 2,329263,2015-09-10,2.8787,[35]
195,Hot Pursuit,268920,2015-05-08,2.867961,"[28, 35, 80]"
196,The SpongeBob Movie: Sponge Out of Water,228165,2015-02-05,2.856983,"[10751, 16]"
197,Rock the Kasbah,253414,2015-10-22,2.83548,"[35, 10402, 10752]"
198,Ashby,330112,2015-04-19,2.809516,"[18, 10749, 35]"
199,Eye in the Sky,333352,2015-09-11,2.772958,"[18, 53, 10752]"
200,Interstellar,157336,2014-11-05,35.271389,"[12, 18, 878]"
201,Guardians of the Galaxy,118340,2014-07-30,26.576314,"[28, 878, 12]"
202,John Wick,245891,2014-10-22,20.206953,"[28, 53]"
203,Fury,228150,2014-10-15,13.979472,"[10752, 18, 28]"
204,The Hobbit: The Battle of the Five Armies,122917,2014-12-10,13.832216,"[28, 12, 14]"
205,The Hunger Games: Mockingjay - Part 1,131631,2014-11-18,12.925262,"[878, 12, 53]"
206,Big Hero 6,177572,2014-10-24,12.116208,"[12, 10751, 16, 28, 35]"
207,X-Men: Days of Future Past,127585,2014-05-15,10.603617,"[28, 12, 14, 878]"
208,Whiplash,244786,2014-10-10,9.625621,"[18, 10402]"
209,Lucy,240832,2014-07-14,9.546743,"[28, 878]"
210,The Imitation Game,205596,2014-11-14,9.306094,"[36, 18, 53, 10752]"
211,Dawn of the Planet of the Apes,119450,2014-06-26,9.009275,"[878, 28, 18, 53]"
212,Teenage Mutant Ninja Turtles,98566,2014-08-07,8.653788,"[878, 28, 12, 14, 35]"
213,Nightcrawler,242582,2014-10-23,8.342592,"[80, 18, 53]"
214,The Maze Runner,198663,2014-09-10,8.239119,"[28, 9648, 878, 53]"
215,Night at the Museum: Secret of the Tomb,181533,2014-12-17,8.145229,"[12, 35, 14, 10751]"
216,Gone Girl,210577,2014-10-01,7.937709,"[9648, 53, 18]"
217,Transformers: Age of Extinction,91314,2014-06-25,7.507238,"[878, 28, 12]"
218,Birdman,194662,2014-08-27,7.401939,"[18, 35]"
219,Edge of Tomorrow,137113,2014-05-27,6.965486,"[28, 878]"
220,Captain America: The Winter Soldier,100402,2014-03-20,6.899056,"[28, 12, 878]"
221,The Equalizer,156022,2014-09-24,6.532926,"[53, 28, 80]"
222,Horrible Bosses 2,227159,2014-11-26,6.275773,[35]
223,Divergent,157350,2014-03-14,6.149478,"[28, 878, 53]"
224,Sex Tape,225886,2014-07-17,5.960847,[35]
225,The Interview,228967,2014-12-25,5.937604,"[28, 35]"
226,It Follows,270303,2014-08-27,5.667188,"[27, 53]"
227,Dracula Untold,49017,2014-10-01,5.604447,"[27, 28, 18, 14, 10752]"
228,Neighbors,195589,2014-05-08,5.535365,[35]
229,Sin City: A Dame to Kill For,189,2014-08-20,5.401461,"[80, 53]"
230,The Grand Budapest Hotel,120467,2014-02-26,5.325648,"[35, 18]"
231,Maleficent,102651,2014-05-28,5.268475,"[14, 12, 28, 10751, 10749]"
232,The Fault in Our Stars,222935,2014-05-16,5.248372,"[10749, 18]"
233,Exodus: Gods and Kings,147441,2014-12-03,5.009493,"[12, 18, 28]"
234,The Amazing Spider-Man 2,102382,2014-04-16,5.007495,"[28, 12, 14]"
235,How to Train Your Dragon 2,82702,2014-06-12,4.997463,"[14, 28, 12, 16, 35, 10751]"
236,Seventh Son,68737,2014-12-12,4.985984,"[12, 14]"
237,Ouija,242512,2014-10-24,4.920425,[27]
238,"Love, Rosie",200727,2014-07-02,4.872168,"[35, 10749]"
239,American Sniper,190859,2014-12-11,4.808806,"[10752, 28]"
240,The Theory of Everything,266856,2014-11-26,4.709738,"[18, 10749]"
241,A Walk Among the Tombstones,169917,2014-09-18,4.675176,"[80, 18, 9648, 53]"
242,Penguins of Madagascar,270946,2014-11-22,4.454412,"[10751, 16, 12, 35]"
243,Godzilla,124905,2014-05-14,4.212916,"[28, 878, 53]"
244,The Maid,326947,2014-04-12,4.207848,"[10749, 18]"
245,The Purge: Anarchy,238636,2014-07-17,4.138883,"[27, 53]"
246,Serial (Bad) Weddings,262391,2014-04-16,4.028579,[35]
247,The Judge,205587,2014-10-08,3.979533,[18]
248,Paddington,116149,2014-11-27,3.97904,"[10751, 35]"
249,The Expendables 3,138103,2014-08-04,3.926027,"[28, 12, 53]"
250,Who Am I,284427,2014-09-25,3.918207,[53]
251,Inherent Vice,171274,2014-12-25,3.913976,"[35, 10749, 80, 18, 9648]"
252,300: Rise of an Empire,53182,2014-03-05,3.863153,"[28, 10752]"
253,Dumb and Dumber To,100042,2014-11-12,3.851518,[35]
254,Left Behind,218043,2014-10-03,3.822173,"[53, 28, 878]"
255,Beauty and the Beast,197796,2014-02-12,3.802169,"[14, 10749]"
256,Stonehearst Asylum,207933,2014-09-11,3.75906,[53]
257,Into the Woods,224141,2014-12-25,3.671436,"[14, 35, 10402]"
258,Playing It Cool,277547,2014-09-26,3.668585,"[35, 10749]"
259,The Drop,154400,2014-09-12,3.667391,"[18, 80]"
260,Non-Stop,225574,2014-01-26,3.617558,"[28, 53, 9648]"
