,genre_ids,ids,popularity,release_date,title,vote_average
353,18,340027,1.190855,2016-09-16,Brain on Fire,9.0
354,35,334384,1.007122,2016-03-12,Tex Montana Will Survive!,9.0
355,10749,409398,1.009636,2016-07-29,Kismath,9.0
356,28,404114,1.152569,2016-06-25,Mobile Suit Gundam Thunderbolt: December Sky,9.0
357,10402,401443,1.064781,2016-06-03,Britney: Piece of Me Revamped,9.0
358,99,398754,1.007876,2016-05-22,Dans l'ombre de Teddy Riner,9.0
359,0,398395,1.007725,2016-05-18,Timecode,9.0
360,35,400975,1.008143,2016-05-26,Dry Hot Summers,9.0
361,10402,401443,1.064781,2016-06-03,Britney: Piece of Me Revamped,9.0
362,16,403114,1.044481,2016-06-13,Window Horses,9.0
363,18,404598,1.013581,2016-05-18,Spreewaldkrimi - Spiel mit dem Tod,9.0
364,99,390070,1.008551,2016-03-08,NFL Super Bowl 50 Champions: Denver Broncos,9.0
365,10402,393806,1.018693,2016-04-17,Sia - Live at Coachella,9.0
366,35,395932,1.021506,2016-05-03,The Bet,9.0
367,99,396232,1.01085,2016-05-27,Sour Grapes,9.0
368,18,342344,1.032063,2016-04-15,"The Girl, the Mother and the Demons",9.0
369,18,383582,1.006578,2016-01-28,Stay with Me,9.0
370,99,381027,1.010475,2016-05-19,The Space in Between: Marina Abramović and Brazil,9.0
371,18,384748,1.271821,2016-06-16,The World of Us,9.0
372,0,388273,1.076875,2016-03-18,No Letting Go,9.0
373,0,438198,1.011966,2016-06-08,Sacred Water,9.0
374,0,431267,1.026874,2016-10-22,Hinterlands,9.0
375,18,427095,1.049253,2016-12-15,Kappen!,9.0
376,27,442490,1.021596,2016-10-16,My House Walk-Through,9.0
377,35,422187,1.023591,2016-10-22,A Instalação do Medo,9.0
378,0,428492,1.072851,2016-12-01,The Stuff of Dreams,9.0
379,878,435167,1.016779,2016-06-05,Dreamscaper,9.0
380,12,428136,1.010734,2016-05-03,1985 The Movie,9.0
381,27,348236,1.013917,2016-01-12,The Musk,9.0
382,10749,360592,1.167328,2016-12-13,The Dust Storm,9.0
383,10751,381123,1.127878,2016-01-29,The LEGO Movie 4D: A New Adventure,9.0
384,10770,371181,1.964894,2016-01-10,"Murder, She Baked: A Peach Cobbler Mystery",9.0
385,0,382357,1.157619,2016-02-07,NFL Superbowl 50,9.0
386,35,410348,1.152247,2016-09-16,Is That a Gun in Your Pocket?,9.0
387,28,404114,1.152569,2016-06-25,Mobile Suit Gundam Thunderbolt: December Sky,9.0
388,10749,414085,1.008347,2016-03-04,"Taxi, what's your name?",9.0
389,53,403018,1.009805,2016-06-10,Element,9.0
390,18,402918,1.244916,2016-10-20,Original Bliss,9.0
391,18,413666,1.211181,2016-08-18,Taekwondo,9.0
392,99,389134,1.007683,2016-03-22,Coming Out,9.0
393,35,399219,1.010599,2016-05-19,Happy End,9.0
394,10751,399099,1.011464,2016-05-24,"Help, I've Shrunk The Family",9.0
395,35,399810,1.007895,2016-05-20,Brad Williams: Daddy Issues,9.0
396,0,401112,1.00787,2016-06-03,Eastern Business,9.0
397,18,382653,1.015287,2016-02-12,Old Stone,9.0
398,53,396558,1.013281,2016-06-08,The Red Trees,9.0
399,16,396899,1.087198,2016-12-14,The Girl Without Hands,9.0
400,28,384217,1.13345,2016-02-02,Ghost In The Shell: The Movie Virtual Reality Diver,9.0
401,99,376386,1.056741,2016-11-04,All These Sleepless Nights,9.0
